"(0.405 , 0.269)"
"(0.54 , 0.364)"
"(0.84 , 0.622)"
"(1.315 , 1.049)"
"(2.375 , 2.067)"
"(4.5 , 4.026)"
"(6.625 , 6.065)"
"(8.625 , 7.981)"
"(10.75 , 10.02)"
"(12.75 , 11.938)"
"(14 , 13.124)"
"(16 , 15)"
"(18 , 16.876)"
"(20 , 18.814)"
"(24 , 22.624)"
"(26 , 24.5)"
"(28 , 26.5)"
"(30 , 28.5)"
"(32 , 30.5)"
"(34 , 32.5)"
"(36 , 34.5)"
"(38 , 36.5)"
"(40 , 38.5)"
"(42 , 40.5)"
"(44 , 42.5)"
"(46 , 44.5)"
"(48 , 46.5)"
"(52 , 50.5)"
"(56 , 54.5)"
"(60 , 58.5)"
"(64 , 62.5)"
"(68 , 66.5)"
"(72 , 70.5)"
"(76 , 74.5)"
"(80 , 78.5)"
