"(10.29 , 6.83)"
"(13.72 , 9.25)"
"(21.34 , 15.8)"
"(33.4 , 26.64)"
"(60.33 , 52.5)"
"(114.3 , 102.26)"
"(168.28 , 154.05)"
"(219.08 , 202.72)"
"(273.05 , 254.51)"
"(323.85 , 303.21)"
"(355.6 , 333.35)"
"(406.4 , 381)"
"(457.2 , 428.45)"
"(508 , 477.88)"
"(609.6 , 574.66)"
"(660.4 , 622.3)"
"(711.2 , 673.1)"
"(762 , 723.9)"
"(812.8 , 774.7)"
"(863.6 , 825.5)"
"(914.4 , 876.3)"
"(965.2 , 927.1)"
"(1016 , 977.9)"
"(1066.8 , 1028.7)"
"(1117.6 , 1079.5)"
"(1168.4 , 1130.3)"
"(1219.2 , 1181.1)"
"(1320.8 , 1282.7)"
"(1422.4 , 1384.3)"
"(1524 , 1485.9)"
"(1625.6 , 1587.5)"
"(1727.2 , 1689.1)"
"(1828.8 , 1790.7)"
"(1930.4 , 1892.3)"
"(2032 , 1993.9)"
