thickness-in,thickness-mm
1.24,31.496
1.45,36.83
1.73,43.942
2.41,61.214
1.65,41.91
1.85,46.99
2.24,56.896
3.02,76.708
2.31,58.674
3.2,81.28
2.11,53.594
2.77,70.358
3.73,94.742
4.78,121.412
7.47,189.738
2.87,72.898
3.91,99.314
5.56,141.224
7.82,198.628
2.9,73.66
3.38,85.852
4.55,115.57
6.35,161.29
9.09,230.886
2.97,75.438
3.56,90.424
4.85,123.19
9.7,246.38
3.18,80.772
3.68,93.472
5.08,129.032
7.14,181.356
10.15,257.81
3.58,90.932
4.37,110.998
5.54,140.716
8.74,222.996
11.07,281.178
3.05,77.47
3.96,100.584
5.16,131.064
5.49,139.446
7.01,178.054
9.53,242.062
14.02,356.108
7.62,193.548
11.13,282.102
15.24,387.096
5.74,145.796
8.08,205.232
6.02,152.908
7.92,201.168
8.56,217.424
13.49,342.646
17.12,434.848
3.4,86.36
6.55,166.37
12.7,322.58
15.88,403.352
19.05,483.87
7.11,180.594
10.97,278.638
14.27,362.458
18.26,463.804
21.95,557.53
22.23,564.642
3.76,95.504
7.04,178.816
8.18,207.772
8.78,223.012
10.31,261.874
15.09,383.286
20.62,523.748
23.01,584.454
25.4,645.16
4.19,106.426
7.09,180.086
7.8,198.12
9.27,235.458
21.44,544.576
23.83,605.282
28.58,725.932
31.75,806.45
4.57,116.078
8.38,212.852
17.48,444.992
26.97,684.038
33.32,846.328
5.33,135.382
11.91,302.514
27.79,706.866
35.71,906.034
50.8,1290.32
53.98,1371.092
55.88,1419.352
63.5,1612.9
16.66,423.164
26.19,665.226
30.18,766.572
30.96,786.384
36.53,928.862
40.49,1028.446
29.36,745.744
34.93,887.222
39.67,1007.618
45.24,1149.096
32.54,826.516
38.1,968.74
44.45,1129.03
50.01,1270.254
41.28,1048.512
47.63,1209.802
24.61,624.094
38.89,987.806
46.02,1168.908
52.37,1330.198
59.54,1512.316
9.35,237.49
