size,nps_inch,dn
1/8",0.125,
1/4",0.25,
3/8",0.375,
1/2",0.5,
3/4",0.75,
1",1,
1 1/4",1.25,
1 1/2",1.5,
2",2,
2 1/2",2.5,
3",3,
3 1/2",3.5,
4",4,
5",5,
6",6,
8",8,
10",10,
12",12,
14",14,
16",16,
18",18,
20",20,
22",22,
24",24,
26",26,
28",28,
30",30,
32",32,
34",34,
36",36,
38",38,
40",40,
42",42,
44",44,
46",46,
48",48,
54",54,
60",60,
66",66,
72",72,
78",78,
84",84,
90",90,
96",96,
102",102,
108",108,
114",114,
120",120,
126",126,
132",132,
138",138,
144",144,
1/4" × 1/8",0.25,
3/8" × 1/8",0.375,
3/8" × 1/4",0.375,
1/2" × 1/8",0.5,
1/2" × 1/4",0.5,
1/2" × 3/8",0.5,
3/4" × 1/8",0.75,
3/4" × 1/4",0.75,
3/4" × 3/8",0.75,
3/4" × 1/2",0.75,
1" × 1/8",1,
1" × 1/4",1,
1" × 3/8",1,
1" × 1/2",1,
1" × 3/4",1,
1 1/4" × 1/8",1.25,
1 1/4" × 1/4",1.25,
1 1/4" × 3/8",1.25,
1 1/4" × 1/2",1.25,
1 1/4" × 3/4",1.25,
1 1/4" × 1",1.25,
1 1/2" × 1/8",1.5,
1 1/2" × 1/4",1.5,
1 1/2" × 3/8",1.5,
1 1/2" × 1/2",1.5,
1 1/2" × 3/4",1.5,
1 1/2" × 1",1.5,
1 1/2" × 1 1/4",1.5,
2" × 1/8",2,
2" × 1/4",2,
2" × 3/8",2,
2" × 1/2",2,
2" × 3/4",2,
2" × 1",2,
2" × 1 1/4",2,
2" × 1 1/2",2,
2 1/2" × 1/8",2.5,
2 1/2" × 1/4",2.5,
2 1/2" × 3/8",2.5,
2 1/2" × 1/2",2.5,
2 1/2" × 3/4",2.5,
2 1/2" × 1",2.5,
2 1/2" × 1 1/4",2.5,
2 1/2" × 1 1/2",2.5,
2 1/2" × 2",2.5,
3" × 1/8",3,
3" × 1/4",3,
3" × 3/8",3,
3" × 1/2",3,
3" × 3/4",3,
3" × 1",3,
3" × 1 1/4",3,
3" × 1 1/2",3,
3" × 2",3,
3" × 2 1/2",3,
3 1/2" × 1/8",3.5,
3 1/2" × 1/4",3.5,
3 1/2" × 3/8",3.5,
3 1/2" × 1/2",3.5,
3 1/2" × 3/4",3.5,
3 1/2" × 1",3.5,
3 1/2" × 1 1/4",3.5,
3 1/2" × 1 1/2",3.5,
3 1/2" × 2",3.5,
3 1/2" × 2 1/2",3.5,
3 1/2" × 3",3.5,
4" × 1/4",4,
4" × 3/8",4,
4" × 1/2",4,
4" × 3/4",4,
4" × 1",4,
4" × 1 1/4",4,
4" × 1 1/2",4,
4" × 2",4,
4" × 2 1/2",4,
4" × 3",4,
4" × 3 1/2",4,
5" × 1/4",5,
5" × 3/8",5,
5" × 1/2",5,
5" × 3/4",5,
5" × 1",5,
5" × 1 1/4",5,
5" × 1 1/2",5,
5" × 2",5,
5" × 2 1/2",5,
5" × 3",5,
5" × 3 1/2",5,
5" × 4",5,
6" × 1/2",6,
6" × 3/4",6,
6" × 1",6,
6" × 1 1/4",6,
6" × 1 1/2",6,
6" × 2",6,
6" × 2 1/2",6,
6" × 3",6,
6" × 3 1/2",6,
6" × 4",6,
6" × 5",6,
8" × 1",8,
8" × 1 1/4",8,
8" × 1 1/2",8,
8" × 2",8,
8" × 2 1/2",8,
8" × 3",8,
8" × 3 1/2",8,
8" × 4",8,
8" × 5",8,
8" × 6",8,
10" × 2",10,
10" × 2 1/2",10,
10" × 3",10,
10" × 3 1/2",10,
10" × 4",10,
10" × 5",10,
10" × 6",10,
10" × 8",10,
12" × 2",12,
12" × 2 1/2",12,
12" × 3",12,
12" × 3 1/2",12,
12" × 4",12,
12" × 5",12,
12" × 6",12,
12" × 8",12,
12" × 10",12,
14" × 6",14,
14" × 8",14,
14" × 10",14,
14" × 12",14,
16" × 6",16,
16" × 8",16,
16" × 10",16,
16" × 12",16,
16" × 14",16,
18" × 8",18,
18" × 10",18,
18" × 12",18,
18" × 14",18,
18" × 16",18,
20" × 8",20,
20" × 10",20,
20" × 12",20,
20" × 14",20,
20" × 16",20,
20" × 18",20,
22" × 10",22,
22" × 12",22,
22" × 14",22,
22" × 16",22,
22" × 18",22,
22" × 20",22,
24" × 10",24,
24" × 12",24,
24" × 14",24,
24" × 16",24,
24" × 18",24,
24" × 20",24,
24" × 22",24,
26" × 12",26,
26" × 14",26,
26" × 16",26,
26" × 18",26,
26" × 20",26,
26" × 22",26,
26" × 24",26,
28" × 12",28,
28" × 14",28,
28" × 16",28,
28" × 18",28,
28" × 20",28,
28" × 22",28,
28" × 24",28,
28" × 26",28,
30" × 10",30,
30" × 12",30,
30" × 14",30,
30" × 16",30,
30" × 18",30,
30" × 20",30,
30" × 22",30,
30" × 24",30,
30" × 26",30,
30" × 28",30,
32" × 14",32,
32" × 16",32,
32" × 18",32,
32" × 20",32,
32" × 22",32,
32" × 24",32,
32" × 26",32,
32" × 28",32,
32" × 30",32,
34" × 16",34,
34" × 18",34,
34" × 20",34,
34" × 22",34,
34" × 24",34,
34" × 26",34,
34" × 28",34,
34" × 30",34,
34" × 32",34,
36" × 16",36,
36" × 18",36,
36" × 20",36,
36" × 22",36,
36" × 24",36,
36" × 26",36,
36" × 28",36,
36" × 30",36,
36" × 32",36,
