size,nps_inch,dn
1/2",0.5,
3/4",0.75,
1",1,
1 1/4",1.25,
1 1/2",1.5,
2",2,
2 1/2",2.5,
3",3,
3 1/2",3.5,
4",4,
5",5,
6",6,
8",8,
10",10,
12",12,
14",14,
16",16,
18",18,
20",20,
22",22,
24",24,
26",26,
28",28,
30",30,
32",32,
34",34,
36",36,
38",38,
40",40,
42",42,
44",44,
46",46,
48",48,
50",50,
52",52,
54",54,
56",56,
58",58,
60",60,
62",62,
64",64,
66",66,
68",68,
72",72,
76",76,
80",80,
DN10,,10
DN15,,15
DN20,,20
DN25,,25
DN32,,32
DN40,,40
DN50,,50
DN65,,65
DN80,,80
DN100,,100
DN125,,125
DN150,,150
DN200,,200
DN250,,250
DN300,,300
DN350,,350
DN400,,400
DN450,,450
DN500,,500
DN600,,600
DN700,,700
DN800,,800
DN900,,900
DN1000,,1000
DN1200,,1200
DN1400,,1400
DN1600,,1600
DN1800,,1800
DN2000,,2000
DN2200,,2200
DN2400,,2400
DN2600,,2600
DN2800,,2800
DN3000,,3000
DN3200,,3200
DN3400,,3400
DN3600,,3600
DN3800,,3800
DN4000,,4000
1 13/16",1.8125,
2 1/16",2.0625,
2 9/16",2.5625,
3 1/16",3.0625,
3 1/8",3.125,
4 1/16",4.0625,
5 1/8",5.125,
7 1/16",7.0625,
9",9,
11",11,
13 5/8",13.625,
16 3/4",16.75,
20 3/4",20.75,
21 1/4",21.25,
24" × 20",24,
20" × 16",20,
16" × 12",16,
12" × 10",12,
10" × 8",10,
8" × 6",8,
6" × 4",6,
4" × 3",4,
3" × 2",3,
2" × 1 1/2",2,
1 1/2" × 1",1.5,
1" × 3/4",1,
3/4" × 1/2",0.75,
