size,nps_inch,dn
NPS 1/2",,
NPS 3/4",,
NPS 1",,
NPS 1-1/4",,
NPS 1-1/2",,
NPS 2",,
NPS 2-1/2",,
NPS 3",,
NPS 3-1/2",,
NPS 4",,
NPS 5",,
NPS 6",,
NPS 8",,
NPS 10",,
NPS 12",,
NPS 14",,
NPS 16",,
NPS 18",,
NPS 20",,
NPS 22",,
NPS 24",,
NPS 26",,
NPS 28",,
NPS 30",,
NPS 32",,
NPS 34",,
NPS 36",,
NPS 40",,
NPS 42",,
NPS 44",,
NPS 48",,
NPS 54",,
NPS 60",,
DN10 (metric),,10
DN15 (metric),,15
DN20 (metric),,20
DN25 (metric),,25
DN32 (metric),,32
DN40 (metric),,40
DN50 (metric),,50
DN65 (metric),,65
DN80 (metric),,80
DN100 (metric),,100
DN125 (metric),,125
DN150 (metric),,150
DN200 (metric),,200
DN250 (metric),,250
DN300 (metric),,300
DN350 (metric),,350
DN400 (metric),,400
DN450 (metric),,450
DN500 (metric),,500
DN600 (metric),,600
DN700 (metric),,700
DN800 (metric),,800
DN900 (metric),,900
DN1000 (metric),,1000
DN1200 (metric),,1200
DN1400 (metric),,1400
DN1500 (metric),,1500
RTJ ring R11 (~NPS 1/2),,
RTJ ring R12 (~NPS 1/2),,
RTJ ring R13 (~NPS 1/2),,
RTJ ring R14 (~NPS 3/4),,
RTJ ring R15 (~NPS 1),,
RTJ ring R16 (~NPS 3/4),,
RTJ ring R17 (~NPS 1-1/4),,
RTJ ring R18 (~NPS 1),,
RTJ ring R19 (~NPS 1-1/2),,
RTJ ring R20 (~NPS 1-1/2),,
RTJ ring R21 (~NPS 1-1/4),,
RTJ ring R22 (~NPS 2),,
RTJ ring R23 (~NPS 1-1/2),,
RTJ ring R24 (~NPS 2),,
RTJ ring R25 (~NPS 2-1/2),,
RTJ ring R26 (~NPS 2),,
RTJ ring R27 (~NPS 2-1/2),,
RTJ ring R28 (~NPS 2-1/2),,
RTJ ring R29 (~NPS 3),,
RTJ ring R31 (~NPS 3),,
RTJ ring R32 (~NPS 3),,
RTJ ring R33 (~NPS 3-1/2),,
RTJ ring R34 (~NPS 3-1/2),,
RTJ ring R35 (~NPS 3),,
RTJ ring R36 (~NPS 4),,
RTJ ring R37 (~NPS 4),,
RTJ ring R38 (~NPS 4),,
RTJ ring R39 (~NPS 4),,
RTJ ring R40 (~NPS 5),,
RTJ ring R41 (~NPS 5),,
RTJ ring R42 (~NPS 5),,
RTJ ring R43 (~NPS 6),,
RTJ ring R44 (~NPS 5),,
RTJ ring R45 (~NPS 6),,
RTJ ring R46 (~NPS 6),,
RTJ ring R47 (~NPS 6),,
RTJ ring R48 (~NPS 8),,
RTJ ring R49 (~NPS 8),,
RTJ ring R50 (~NPS 8),,
RTJ ring R51 (~NPS 8),,
RTJ ring R52 (~NPS 10),,
RTJ ring R53 (~NPS 10),,
RTJ ring R54 (~NPS 10),,
RTJ ring R55 (~NPS 10),,
RTJ ring R56 (~NPS 12),,
RTJ ring R57 (~NPS 12),,
RTJ ring R58 (~NPS 12),,
RTJ ring R59 (~NPS 14),,
RTJ ring R60 (~NPS 12),,
RTJ ring R61 (~NPS 14),,
RTJ ring R62 (~NPS 14),,
RTJ ring R63 (~NPS 14),,
RTJ ring R64 (~NPS 16),,
RTJ ring R65 (~NPS 16),,
RTJ ring R66 (~NPS 16),,
RTJ ring R67 (~NPS 16),,
RTJ ring R68 (~NPS 18),,
RTJ ring R69 (~NPS 18),,
RTJ ring R70 (~NPS 18),,
RTJ ring R71 (~NPS 18),,
RTJ ring R72 (~NPS 20),,
RTJ ring R73 (~NPS 20),,
RTJ ring R74 (~NPS 20),,
RTJ ring R75 (~NPS 20),,
